Major Category,Major,Year,Degree,Completions
English,General Literature,2017,Bachelors Degree,66
English,British & Commonwealth English Literature,2017,Bachelors Degree,133
Liberal Arts & Humanities,Liberal Arts & Sciences,2017,Bachelors Degree,977
Liberal Arts & Humanities,General Studies,2017,Bachelors Degree,2
Liberal Arts & Humanities,Humanistic Studies,2017,Bachelors Degree,116
Liberal Arts & Humanities,"Other Liberal Arts & Sciences, General Studies, & Humanities",2017,Bachelors Degree,28
Biology,General Biological Sciences,2017,Bachelors Degree,1545
Biology,General Biomedical Sciences,2017,Bachelors Degree,129
Biology,Biochemistry,2017,Bachelors Degree,118
Biology,Biophysics,2017,Bachelors Degree,5
Biology,Molecular Biology,2017,Bachelors Degree,5
Biology,Biochemistry & Molecular Biology,2017,Bachelors Degree,10
Biology,Cellular & Molecular Biology,2017,Bachelors Degree,23
Biology,Cell Biology & Anatomy,2017,Bachelors Degree,0
Biology,General Microbiology,2017,Bachelors Degree,6
Biology,Cell Physiology,2017,Bachelors Degree,0
Biology,Pharmacology,2017,Bachelors Degree,14
Biology,Toxicology,2017,Bachelors Degree,13
Biology,Bioinformatics,2017,Bachelors Degree,45
Biology,Biotechnology,2017,Bachelors Degree,8
Biology,Ecology,2017,Bachelors Degree,45
Biology,Environmental Biology,2017,Bachelors Degree,2
Biology,Ecology & Evolutionary Biology,2017,Bachelors Degree,1
Biology,Neuroscience,2017,Bachelors Degree,175
Biology,Other Biological & Biomedical Sciences,2017,Bachelors Degree,0
Math & Statistics,General Mathematics,2017,Bachelors Degree,482
Math & Statistics,Other Mathematics,2017,Bachelors Degree,3
Math & Statistics,General Applied Mathematics,2017,Bachelors Degree,91
Math & Statistics,Computational & Applied Mathematics,2017,Bachelors Degree,4
Math & Statistics,Financial Mathematics,2017,Bachelors Degree,4
Math & Statistics,Other Applied Mathematics,2017,Bachelors Degree,0
Math & Statistics,General Statistics,2017,Bachelors Degree,64
Math & Statistics,Other Mathematics & Statistics,2017,Bachelors Degree,76
Interdisciplinary Studies,General Interdisciplinary Studies,2017,Bachelors Degree,227
Interdisciplinary Studies,Biological & Physical Sciences,2017,Bachelors Degree,103
Interdisciplinary Studies,Peace Studies & Conflict Resolution,2017,Bachelors Degree,3
Interdisciplinary Studies,Mathematics & Computer Science,2017,Bachelors Degree,5
Interdisciplinary Studies,Biopsychology,2017,Bachelors Degree,5
Interdisciplinary Studies,Gerontology,2017,Bachelors Degree,7
Interdisciplinary Studies,Other Historic Preservation & Conservation,2017,Bachelors Degree,0
Interdisciplinary Studies,Medieval & Renaissance Studies,2017,Bachelors Degree,1
Interdisciplinary Studies,Natural Sciences,2017,Bachelors Degree,0
Interdisciplinary Studies,Nutrition Sciences,2017,Bachelors Degree,47
Interdisciplinary Studies,International & Global Studies,2017,Bachelors Degree,46
Interdisciplinary Studies,Ancient Civilization Studies,2017,Bachelors Degree,3
Interdisciplinary Studies,"Cultural Studies, Critical Theory, & Analysis",2017,Bachelors Degree,2
Interdisciplinary Studies,Human Biology,2017,Bachelors Degree,12
Interdisciplinary Studies,Sustainability Studies,2017,Bachelors Degree,56
Interdisciplinary Studies,Other Multidisciplinary Studies,2017,Bachelors Degree,117
"Parks, Recreation, & Leisure","Parks, Recreation, & Leisure Studies",2017,Bachelors Degree,13
"Parks, Recreation, & Leisure","General Parks, Recreation, & Leisure Facilities Management",2017,Bachelors Degree,6
"Parks, Recreation, & Leisure",General Health & Physical Education,2017,Bachelors Degree,3
"Parks, Recreation, & Leisure",Sport & Fitness Management,2017,Bachelors Degree,131
"Parks, Recreation, & Leisure",Kinesiology & Exercise Science,2017,Bachelors Degree,156
Philosophy and Religious Studies,General Philosophy & Religious Studies,2017,Bachelors Degree,9
Philosophy and Religious Studies,Philosophy,2017,Bachelors Degree,327
Philosophy and Religious Studies,Other Philosophy,2017,Bachelors Degree,6
Philosophy and Religious Studies,Religious Studies,2017,Bachelors Degree,65
Philosophy and Religious Studies,Judaic Studies,2017,Bachelors Degree,65
Philosophy and Religious Studies,Other Philosophy & Religious Studies,2017,Bachelors Degree,15
Theology,Religious Education,2017,Bachelors Degree,23
Theology,Religious & Sacred Music,2017,Bachelors Degree,0
Theology,Theological Studies,2017,Bachelors Degree,78
Theology,Talmudic Studies,2017,Bachelors Degree,879
Physical Sciences,Physical Sciences,2017,Bachelors Degree,66
Physical Sciences,Astronomy,2017,Bachelors Degree,2
Physical Sciences,Astrophysics,2017,Bachelors Degree,8
Physical Sciences,General Atmospheric Sciences & Meteorology,2017,Bachelors Degree,8
Physical Sciences,Meteorology,2017,Bachelors Degree,0
Physical Sciences,General Chemistry,2017,Bachelors Degree,375
Physical Sciences,Chemical Physics,2017,Bachelors Degree,1
Physical Sciences,Other Chemistry,2017,Bachelors Degree,0
Physical Sciences,General Geology & Earch Science,2017,Bachelors Degree,58
Physical Sciences,Chemical & Physical Oceanography,2017,Bachelors Degree,0
Physical Sciences,General Physics,2017,Bachelors Degree,139
Physical Sciences,Acoustics,2017,Bachelors Degree,3
Physical Sciences,Materials Science,2017,Bachelors Degree,4
Physical Sciences,Other Physical Sciences,2017,Bachelors Degree,5
Science Technologies,Other Science Technologies,2017,Bachelors Degree,0
Psychology,General Psychology,2017,Bachelors Degree,4591
Psychology,Personality Psychology,2017,Bachelors Degree,1
Psychology,Physiological Psychology & Psychobiology,2017,Bachelors Degree,10
Psychology,Other Research & Experimental Psychology,2017,Bachelors Degree,127
Psychology,Clinical Psychology,2017,Bachelors Degree,17
Psychology,Industrial & Organizational Psychology,2017,Bachelors Degree,27
Psychology,Forensic Psychology,2017,Bachelors Degree,516
Psychology,Applied Psychology,2017,Bachelors Degree,153
Protective Services,Corrections,2017,Bachelors Degree,0
Protective Services,General Law ,2017,Bachelors Degree,1837
Protective Services,Criminal Justice - Safety Studies,2017,Bachelors Degree,36
Protective Services,Forensic Science & Technology,2017,Bachelors Degree,74
Protective Services,Securities Services Management,2017,Bachelors Degree,87
Protective Services,Financial Forensics & Fraud Investigation,2017,Bachelors Degree,44
Protective Services,Other Corrections & Criminal Justice,2017,Bachelors Degree,138
Protective Services,Fire Services Administration,2017,Bachelors Degree,31
Protective Services,Fire Science & Fire-Fighting,2017,Bachelors Degree,16
Public Administration and Social Service,General Human Services,2017,Bachelors Degree,268
Public Administration and Social Service,Community Organization & Advocacy,2017,Bachelors Degree,58
Public Administration and Social Service,Public Administration,2017,Bachelors Degree,174
Public Administration and Social Service,General Public Policy Analysis,2017,Bachelors Degree,0
Public Administration and Social Service,International Policy Analysis,2017,Bachelors Degree,16
Public Administration and Social Service,Social Work,2017,Bachelors Degree,413
Public Administration and Social Service,Other Public Administration & Social Service Professions,2017,Bachelors Degree,11
Social Sciences,General Social Sciences,2017,Bachelors Degree,146
Social Sciences,Anthropology,2017,Bachelors Degree,274
Social Sciences,Cultural Anthropology,2017,Bachelors Degree,2
Social Sciences,Archeology,2017,Bachelors Degree,11
Social Sciences,Criminology,2017,Bachelors Degree,249
Social Sciences,General Economics,2017,Bachelors Degree,1384
Social Sciences,Econometrics & Quantitative Economics,2017,Bachelors Degree,480
Social Sciences,Developmental Economics & International Development,2017,Bachelors Degree,0
Social Sciences,Other Economics,2017,Bachelors Degree,5
Social Sciences,Geography,2017,Bachelors Degree,22
Social Sciences,International Relations & Affairs,2017,Bachelors Degree,206
Social Sciences,Political Science,2017,Bachelors Degree,1349
Social Sciences,Sociology,2017,Bachelors Degree,1050
Social Sciences,Urban Studies,2017,Bachelors Degree,174
Social Sciences,Sociology & Anthropology,2017,Bachelors Degree,91
Social Sciences,Other Social Sciences,2017,Bachelors Degree,108
Mechanical Technologies,Airframe Mechanics & Aircraft Maintenance Technology,2017,Bachelors Degree,7
Transportation,Airway Management & Operations,2017,Bachelors Degree,77
Transportation,Marine Science & Merchant Marine Officer,2017,Bachelors Degree,139
Visual & Performing Arts,General Visual & Performing Arts,2017,Bachelors Degree,14
Visual & Performing Arts,Digital Arts,2017,Bachelors Degree,32
Visual & Performing Arts,General Dance,2017,Bachelors Degree,151
Visual & Performing Arts,Ballet,2017,Bachelors Degree,12
Visual & Performing Arts,Other Dance,2017,Bachelors Degree,20
Visual & Performing Arts,General Design & Visual Communications,2017,Bachelors Degree,177
Visual & Performing Arts,Commercial & Advertising Art,2017,Bachelors Degree,64
Visual & Performing Arts,Industrial & Product Design,2017,Bachelors Degree,151
Visual & Performing Arts,Commercial Photography,2017,Bachelors Degree,33
Visual & Performing Arts,Fashion & Apparel Design,2017,Bachelors Degree,601
Visual & Performing Arts,Interior Design,2017,Bachelors Degree,184
Visual & Performing Arts,Graphic Design,2017,Bachelors Degree,421
Visual & Performing Arts,Illustration,2017,Bachelors Degree,298
Visual & Performing Arts,Other Design & Applied Arts,2017,Bachelors Degree,55
Visual & Performing Arts,General Drama & Theater Arts,2017,Bachelors Degree,602
Visual & Performing Arts,Technical Theatre Design & Technology,2017,Bachelors Degree,46
Visual & Performing Arts,Playwriting & Screenwriting,2017,Bachelors Degree,64
Visual & Performing Arts,Acting,2017,Bachelors Degree,158
Visual & Performing Arts,Directing & Theatrical Production,2017,Bachelors Degree,17
Visual & Performing Arts,Musical Theatre,2017,Bachelors Degree,50
Visual & Performing Arts,Other Dramatic Arts & Stagecraft,2017,Bachelors Degree,204
Visual & Performing Arts,"Film, Cinema, & Video Studies",2017,Bachelors Degree,132
Visual & Performing Arts,Cinematography & Film Production,2017,Bachelors Degree,489
Visual & Performing Arts,Photography,2017,Bachelors Degree,235
Visual & Performing Arts,Other Film & Photographic Arts,2017,Bachelors Degree,78
Visual & Performing Arts,General Art Studies,2017,Bachelors Degree,37
Visual & Performing Arts,General Fine Studio Arts,2017,Bachelors Degree,576
Visual & Performing Arts,"Art History, Criticism, & Conservation",2017,Bachelors Degree,228
Visual & Performing Arts,Drawing,2017,Bachelors Degree,8
Visual & Performing Arts,Painting,2017,Bachelors Degree,22
Visual & Performing Arts,Sculpture,2017,Bachelors Degree,6
Visual & Performing Arts,Printmaking,2017,Bachelors Degree,4
Visual & Performing Arts,Ceramic Arts & Ceramics,2017,Bachelors Degree,3
Visual & Performing Arts,Other Fine Arts & Art Studies,2017,Bachelors Degree,40
Visual & Performing Arts,General Music,2017,Bachelors Degree,139
Visual & Performing Arts,"Music History, Literature, & Theory",2017,Bachelors Degree,14
Visual & Performing Arts,General Music Performance,2017,Bachelors Degree,144
Visual & Performing Arts,Music Theory & Composition,2017,Bachelors Degree,31
Visual & Performing Arts,Conducting,2017,Bachelors Degree,2
Visual & Performing Arts,Keyboard Instruments,2017,Bachelors Degree,37
Visual & Performing Arts,Voice & Opera,2017,Bachelors Degree,36
Visual & Performing Arts,Jazz & Jazz Studies,2017,Bachelors Degree,84
Visual & Performing Arts,Stringed Instruments,2017,Bachelors Degree,57
Visual & Performing Arts,Music Technology,2017,Bachelors Degree,18
Visual & Performing Arts,Brass Instruments,2017,Bachelors Degree,12
Visual & Performing Arts,Woodwind Instruments,2017,Bachelors Degree,9
Visual & Performing Arts,Percussion Instruments,2017,Bachelors Degree,5
Visual & Performing Arts,Fine & Studio Arts Management,2017,Bachelors Degree,225
Visual & Performing Arts,Theatre Arts Management,2017,Bachelors Degree,69
Visual & Performing Arts,Other Visual & Performing Arts,2017,Bachelors Degree,138
Health,General Health Services,2017,Bachelors Degree,352
Health,General Health & Wellness,2017,Bachelors Degree,0
Health,General Communication Sciences & Disorders,2017,Bachelors Degree,87
Health,Audiology,2017,Bachelors Degree,0
Health,Speech-Language Pathology,2017,Bachelors Degree,0
Health,Audiology & Speech-Language Pathology,2017,Bachelors Degree,314
Health,Dental Hygiene,2017,Bachelors Degree,14
Health,Health Care Administration & Management,2017,Bachelors Degree,120
Health,Hospital & Health Care Facilities Management,2017,Bachelors Degree,314
Health,Health Information & Medical Records Administration,2017,Bachelors Degree,23
Health,Health Information & Medical Records Technology,2017,Bachelors Degree,4
Health,Other Allied Health & Medical Assisting Services,2017,Bachelors Degree,14
Health,Nuclear Medical Technologist,2017,Bachelors Degree,3
Health,Radiation Therapist,2017,Bachelors Degree,62
Health,Respiratory Care Therapist,2017,Bachelors Degree,28
Health,Diagnostic Medical Sonography & Ultrasound Technician,2017,Bachelors Degree,12
Health,Radiographer,2017,Bachelors Degree,19
Health,Physician Assistant,2017,Bachelors Degree,203
Health,Athletic Trainer,2017,Bachelors Degree,23
Health,Clinical Laboratory Technologist,2017,Bachelors Degree,113
Health,Pre-Occupational Therapy Studies,2017,Bachelors Degree,0
Health,Pre-Optometry Studies,2017,Bachelors Degree,0
Health,Pre-Physical Therapy Studies,2017,Bachelors Degree,0
Health,Pharmaceutical Sciences,2017,Bachelors Degree,0
Health,"Other Pharmacy, Pharmaceutical Sciences, & Administration",2017,Bachelors Degree,147
Health,General Public Health,2017,Bachelors Degree,186
Health,Environmental Health,2017,Bachelors Degree,5
Health,Public Health Education & Promotion,2017,Bachelors Degree,111
Health,Health Services Administration,2017,Bachelors Degree,174
Health,Occupational Therapy,2017,Bachelors Degree,53
Health,Physical Therapy,2017,Bachelors Degree,0
Health,Therapeutic Recreation Therapy,2017,Bachelors Degree,33
Health,Dietetics,2017,Bachelors Degree,162
Health,Others Dietetics & Clinical Nutrition Services,2017,Bachelors Degree,45
Health,Asian Bodywork Therapy,2017,Bachelors Degree,0
Health,Movement Therapy & Movement Education,2017,Bachelors Degree,26
Health,Registered Nursing,2017,Bachelors Degree,2147
Health,Nursing Administration,2017,Bachelors Degree,0
Health,Adult Health Nurse,2017,Bachelors Degree,1
Health,Nursing Practice,2017,Bachelors Degree,0
Health,"Other Registered Nursing, Nursing Administration, Nursing Research, & Clinical Nursing",2017,Bachelors Degree,13
Health,Other Health Professions & Related Clinical Sciences,2017,Bachelors Degree,301
Business,General Business,2017,Bachelors Degree,894
Business,General Business Admin & Mgt,2017,Bachelors Degree,2555
Business,"Non-Profit, Public, & Organizational Management",2017,Bachelors Degree,9
Business,Organizational Leadership,2017,Bachelors Degree,37
Business,"Other Business Administration, Management, & Operations",2017,Bachelors Degree,99
Business,Accounting,2017,Bachelors Degree,2447
Business,Accounting & Finance,2017,Bachelors Degree,51
Business,General Administrative Assistant & Secretarial Science,2017,Bachelors Degree,0
Business,Business & Corporate Communications,2017,Bachelors Degree,322
Business,Business & Managerial Economics,2017,Bachelors Degree,85
Business,Entrepreneurial Studies,2017,Bachelors Degree,118
Business,Other Small Business & Entrepreneurial Operations,2017,Bachelors Degree,22
Business,General Finance,2017,Bachelors Degree,1487
Business,Financial Planning & Services,2017,Bachelors Degree,17
Business,Investments & Securities,2017,Bachelors Degree,0
Business,General Hospitality Management,2017,Bachelors Degree,323
Business,Hotel Administration & Management,2017,Bachelors Degree,79
Business,General Human Resources Management & Personnel Administration,2017,Bachelors Degree,21
Business,Labor & Industrial Relations,2017,Bachelors Degree,0
Business,Organizational Behavior Studies,2017,Bachelors Degree,0
Business,Labor Studies,2017,Bachelors Degree,8
Business,"International Business, Trade, & Commerce",2017,Bachelors Degree,156
Business,General Management Information Systems,2017,Bachelors Degree,0
Business,Other Management Information Systems & Services,2017,Bachelors Degree,0
Business,Management Science,2017,Bachelors Degree,44
Business,Business Statistics,2017,Bachelors Degree,100
Business,Actuarial Science,2017,Bachelors Degree,110
Business,Other Management Sciences & Quantitative Methods,2017,Bachelors Degree,20
Business,General Marketing & Marketing Management,2017,Bachelors Degree,309
Business,Marketing Research,2017,Bachelors Degree,28
Business,International Marketing,2017,Bachelors Degree,189
Business,Other Marketing,2017,Bachelors Degree,0
Business,Real Estate,2017,Bachelors Degree,71
Business,Insurance,2017,Bachelors Degree,48
Business,"General Sales, Distribution, & Marketing Operations",2017,Bachelors Degree,431
Business,Fashion Merchandising,2017,Bachelors Degree,757
Business,Special Products Marketing Operations,2017,Bachelors Degree,22
Business,"Other Specialized Merchandising, Sales, & Marketing Operations",2017,Bachelors Degree,37
Business,Construction Management,2017,Bachelors Degree,4
Business,"Other Business, Management, Marketing, & Related Support Services",2017,Bachelors Degree,193
History,General History,2017,Bachelors Degree,657
History,History & Philosophy of Science & Technology,2017,Bachelors Degree,9
Communication Technologies,Communications Technology,2016,Bachelors Degree,21
Communication Technologies,Photographic & Video Technology,2016,Bachelors Degree,27
Communication Technologies,Prepress Publising & Digital Imaging Design,2016,Bachelors Degree,0
Communication Technologies,"Animation, Interactive Technology, Video Graphics, & Special Effects",2016,Bachelors Degree,123
Computer and Information Sciences and Support Services,General Computer & Information Sciences,2016,Bachelors Degree,463
Computer and Information Sciences and Support Services,Information Technology,2016,Bachelors Degree,64
Computer and Information Sciences and Support Services,Other Computer & Information Sciences,2016,Bachelors Degree,0
Computer and Information Sciences and Support Services,Information Science,2016,Bachelors Degree,399
Computer and Information Sciences and Support Services,Computer Systems Analysis,2016,Bachelors Degree,26
Computer and Information Sciences and Support Services,Computer Science,2016,Bachelors Degree,545
Computer and Information Sciences and Support Services,"Web Page, Digital, & Information Resource Design",2016,Bachelors Degree,32
Computer and Information Sciences and Support Services,Computer Graphics,2016,Bachelors Degree,84
Computer and Information Sciences and Support Services,Other Computer Software & Media Applications,2016,Bachelors Degree,0
Computer and Information Sciences and Support Services,Computer Systems Networking & Telecommunications,2016,Bachelors Degree,37
Computer and Information Sciences and Support Services,Network & System Administration,2016,Bachelors Degree,15
Computer and Information Sciences and Support Services,Computer & Information Systems Security,2016,Bachelors Degree,49
Computer and Information Sciences and Support Services,Information Technology Project Management,2016,Bachelors Degree,26
Computer and Information Sciences and Support Services,Other Computer & Information Technology Services Management,2016,Bachelors Degree,44
Computer and Information Sciences and Support Services,Other Computer & Information Support Services,2016,Bachelors Degree,12
Personal & Culinary Services,General Funeral Service & Mortuary Science,2016,Bachelors Degree,3
Education,General Education,2016,Bachelors Degree,4
Education,Bilingual & Multilingual Education,2016,Bachelors Degree,17
Education,Social & Philosophical Foundations of Education,2016,Bachelors Degree,2
Education,General Special Education & Teaching,2016,Bachelors Degree,205
Education,Education of Individuals with Speech or Language Impairments,2016,Bachelors Degree,0
Education,Education of Individuals in Early Childhood Special Education Programs,2016,Bachelors Degree,10
Education,Education of Individuals in Elementary Special Education Programs,2016,Bachelors Degree,21
Education,Elementary Education & Teaching,2016,Bachelors Degree,515
Education,Secondary Education & Teaching,2016,Bachelors Degree,14
Education,Early Childhood Education & Teaching,2016,Bachelors Degree,160
Education,Art Teacher Education,2016,Bachelors Degree,14
Education,English & Language Arts Teacher Education,2016,Bachelors Degree,96
Education,Foreign Language Teacher Education,2016,Bachelors Degree,5
Education,Health Teacher Education,2016,Bachelors Degree,0
Education,Family & Consumer Sciences Teacher Education,2016,Bachelors Degree,3
Education,Technology & Industrial Arts Teacher Education,2016,Bachelors Degree,12
Education,Mathematics Teacher Education,2016,Bachelors Degree,80
Education,Music Teacher Education,2016,Bachelors Degree,22
Education,Physical Education Teaching & Coaching,2016,Bachelors Degree,116
Education,General Science Teacher Education,2016,Bachelors Degree,11
Education,Social Studies Teacher Education,2016,Bachelors Degree,60
Education,Biology Teacher Education,2016,Bachelors Degree,11
Education,Chemistry Teacher Education,2016,Bachelors Degree,8
Education,Drama & Dance Teacher Education,2016,Bachelors Degree,0
Education,French Language Teacher Education,2016,Bachelors Degree,0
Education,German Language Teacher Education,2016,Bachelors Degree,0
Education,History Teacher Education,2016,Bachelors Degree,11
Education,Physics Teacher Education,2016,Bachelors Degree,0
Education,Spanish Language Teacher Education,2016,Bachelors Degree,18
Education,Earth Science Teacher Education,2016,Bachelors Degree,2
Education,Teaching English as a Second or Foreign Language Instructor,2016,Bachelors Degree,22
Education,Other Education,2016,Bachelors Degree,0
Engineering,General Engineering,2016,Bachelors Degree,42
Engineering,Pre-Engineering,2016,Bachelors Degree,3
Engineering,Bioengineering & Biomedical Engineering,2016,Bachelors Degree,91
Engineering,Chemical Engineering,2016,Bachelors Degree,179
Engineering,General Civil Engineering,2016,Bachelors Degree,277
Engineering,General Computer Engineering,2016,Bachelors Degree,91
Engineering,Electrical & Electronics Engineering,2016,Bachelors Degree,265
Engineering,Engineering Mechanics,2016,Bachelors Degree,0
Engineering,Engineering Physics & Applied Physics,2016,Bachelors Degree,31
Engineering,Environmental Health Engineering,2016,Bachelors Degree,33
Engineering,Mechanical Engineering,2016,Bachelors Degree,360
Engineering,Metallurgical Engineering,2016,Bachelors Degree,0
Engineering,Mining & Mineral Engineering,2016,Bachelors Degree,0
Engineering,Naval Architecture & Marine Engineering,2016,Bachelors Degree,31
Engineering,Construction Engineering,2016,Bachelors Degree,13
Engineering,Industrial Engineering,2016,Bachelors Degree,36
Engineering,Operations Research,2016,Bachelors Degree,68
Engineering,Other Engineering,2016,Bachelors Degree,0
Engineering Technologies,"Electrical, Electronic, & Communications Engineering Technology",2016,Bachelors Degree,30
Engineering Technologies,Telecommunications Technology,2016,Bachelors Degree,48
Engineering Technologies,Other Electrical Engineering Technology,2016,Bachelors Degree,18
Engineering Technologies,Biomedical Technology,2016,Bachelors Degree,16
Engineering Technologies,Mechanical Engineering Technology,2016,Bachelors Degree,75
Engineering Technologies,Construction Engineering Technology,2016,Bachelors Degree,28
Engineering Technologies,Computer Engineering Technology,2016,Bachelors Degree,87
Language & Linguistics,General Foreign Languages & Literatures,2016,Bachelors Degree,12
Language & Linguistics,Linguistics,2016,Bachelors Degree,80
Language & Linguistics,Comparative Literature,2016,Bachelors Degree,57
Language & Linguistics,Chinese Language & Literature,2016,Bachelors Degree,25
Language & Linguistics,"General Slavic Languages, Literatures, & Linguistics",2016,Bachelors Degree,15
Language & Linguistics,Russian Language & Literature,2016,Bachelors Degree,13
Language & Linguistics,"General Germanic Languages, Literatures, & Linguistics",2016,Bachelors Degree,0
Language & Linguistics,German Language & Literature,2016,Bachelors Degree,25
Language & Linguistics,"Other Germanic Languages, Literatures, & Linguistics",2016,Bachelors Degree,0
Language & Linguistics,"General Romance Languages, Literatures, & Linguistics",2016,Bachelors Degree,38
Language & Linguistics,French Language & Literature,2016,Bachelors Degree,73
Language & Linguistics,Italian Language & Literature,2016,Bachelors Degree,20
Language & Linguistics,Portuguese Language & Literature,2016,Bachelors Degree,1
Language & Linguistics,Spanish Language & Literature,2016,Bachelors Degree,169
Language & Linguistics,Hebrew Language & Literature,2016,Bachelors Degree,4
Language & Linguistics,"Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics",2016,Bachelors Degree,32
Language & Linguistics,"General Classical Language, Literature, & Linguistics",2016,Bachelors Degree,46
Language & Linguistics,Ancient/Classical Greek Language & Literature,2016,Bachelors Degree,2
Language & Linguistics,Latin Language & Literature,2016,Bachelors Degree,0
Language & Linguistics,"Other Classical Languages, Literature, & Linguistics",2016,Bachelors Degree,0
Language & Linguistics,"Other Foreign Languages, Literatures, & Linguistics",2016,Bachelors Degree,0
Human Sciences,General Family & Consumer Sciences,2016,Bachelors Degree,52
Human Sciences,"General Food, Nutrition, & Wellness Studies",2016,Bachelors Degree,81
Human Sciences,Facilities Planning & Management,2016,Bachelors Degree,21
Human Sciences,General Human Development & Family Studies,2016,Bachelors Degree,18
Human Sciences,Apparel & Textile Manufacture,2016,Bachelors Degree,68
Legal,General Legal Studies,2016,Bachelors Degree,187
Legal,Pre-Law Studies,2016,Bachelors Degree,16
Legal,Paralegal,2016,Bachelors Degree,57
Legal,Other Legal Professions & Studies,2016,Bachelors Degree,31
English,General English Language & Literature,2016,Bachelors Degree,1341
English,Creative Writing,2016,Bachelors Degree,84
English,"Professional, Technical, Business, & Scientific Writing",2016,Bachelors Degree,15
English,Rhetoric & Composition,2016,Bachelors Degree,72
English,General Literature,2016,Bachelors Degree,66
English,British & Commonwealth English Literature,2016,Bachelors Degree,122
Liberal Arts & Humanities,Liberal Arts & Sciences,2016,Bachelors Degree,1094
Liberal Arts & Humanities,General Studies,2016,Bachelors Degree,8
Liberal Arts & Humanities,Humanistic Studies,2016,Bachelors Degree,134
Liberal Arts & Humanities,"Other Liberal Arts & Sciences, General Studies, & Humanities",2016,Bachelors Degree,41
Biology,General Biological Sciences,2016,Bachelors Degree,1603
Biology,General Biomedical Sciences,2016,Bachelors Degree,65
Biology,Biochemistry,2016,Bachelors Degree,118
Biology,Biophysics,2016,Bachelors Degree,4
Biology,Molecular Biology,2016,Bachelors Degree,6
Biology,Biochemistry & Molecular Biology,2016,Bachelors Degree,24
Biology,Cellular & Molecular Biology,2016,Bachelors Degree,7
Biology,General Microbiology,2016,Bachelors Degree,12
Biology,Cell Physiology,2016,Bachelors Degree,1
Biology,Pharmacology,2016,Bachelors Degree,18
Biology,Toxicology,2016,Bachelors Degree,14
Biology,Bioinformatics,2016,Bachelors Degree,26
Biology,Biotechnology,2016,Bachelors Degree,6
Biology,Ecology,2016,Bachelors Degree,49
Biology,Environmental Biology,2016,Bachelors Degree,3
Biology,Neuroscience,2016,Bachelors Degree,163
Biology,Other Biological & Biomedical Sciences,2016,Bachelors Degree,0
Math & Statistics,General Mathematics,2016,Bachelors Degree,575
Math & Statistics,Other Mathematics,2016,Bachelors Degree,0
Math & Statistics,General Applied Mathematics,2016,Bachelors Degree,91
Math & Statistics,Computational & Applied Mathematics,2016,Bachelors Degree,5
Math & Statistics,Financial Mathematics,2016,Bachelors Degree,1
Math & Statistics,Other Applied Mathematics,2016,Bachelors Degree,0
Math & Statistics,General Statistics,2016,Bachelors Degree,31
Math & Statistics,Other Mathematics & Statistics,2016,Bachelors Degree,77
Interdisciplinary Studies,General Interdisciplinary Studies,2016,Bachelors Degree,275
Interdisciplinary Studies,Biological & Physical Sciences,2016,Bachelors Degree,121
Interdisciplinary Studies,Peace Studies & Conflict Resolution,2016,Bachelors Degree,2
Interdisciplinary Studies,Mathematics & Computer Science,2016,Bachelors Degree,4
Interdisciplinary Studies,Biopsychology,2016,Bachelors Degree,12
Interdisciplinary Studies,Gerontology,2016,Bachelors Degree,12
Interdisciplinary Studies,Other Historic Preservation & Conservation,2016,Bachelors Degree,0
Interdisciplinary Studies,Medieval & Renaissance Studies,2016,Bachelors Degree,1
Interdisciplinary Studies,Natural Sciences,2016,Bachelors Degree,0
Interdisciplinary Studies,Nutrition Sciences,2016,Bachelors Degree,0
Interdisciplinary Studies,International & Global Studies,2016,Bachelors Degree,42
Interdisciplinary Studies,Ancient Civilization Studies,2016,Bachelors Degree,4
Interdisciplinary Studies,"Cultural Studies, Critical Theory, & Analysis",2016,Bachelors Degree,4
Interdisciplinary Studies,Human Biology,2016,Bachelors Degree,2
Interdisciplinary Studies,Sustainability Studies,2016,Bachelors Degree,54
Interdisciplinary Studies,Other Multidisciplinary Studies,2016,Bachelors Degree,134
"Parks, Recreation, & Leisure","Parks, Recreation, & Leisure Studies",2016,Bachelors Degree,10
"Parks, Recreation, & Leisure","General Parks, Recreation, & Leisure Facilities Management",2016,Bachelors Degree,26
"Parks, Recreation, & Leisure",General Health & Physical Education,2016,Bachelors Degree,2
"Parks, Recreation, & Leisure",Sport & Fitness Management,2016,Bachelors Degree,127
"Parks, Recreation, & Leisure",Kinesiology & Exercise Science,2016,Bachelors Degree,138
Philosophy and Religious Studies,General Philosophy & Religious Studies,2016,Bachelors Degree,6
Philosophy and Religious Studies,Philosophy,2016,Bachelors Degree,298
Philosophy and Religious Studies,Other Philosophy,2016,Bachelors Degree,4
Philosophy and Religious Studies,Religious Studies,2016,Bachelors Degree,63
Philosophy and Religious Studies,Judaic Studies,2016,Bachelors Degree,90
Philosophy and Religious Studies,Other Philosophy & Religious Studies,2016,Bachelors Degree,7
Theology,Religious Education,2016,Bachelors Degree,25
Theology,Religious & Sacred Music,2016,Bachelors Degree,0
Theology,Theological Studies,2016,Bachelors Degree,78
Theology,Talmudic Studies,2016,Bachelors Degree,842
Physical Sciences,Physical Sciences,2016,Bachelors Degree,60
Physical Sciences,Astronomy,2016,Bachelors Degree,6
